artist,origin_country,genre
drake featuring michael jackson ,UK,Country
  BLOCBOY JB FEATURING DRAKE ,UK,R&B
 foster the people ,US,Country
 NICKY JAM X J BALVIN ,UK,R&B
  LAUREN DAIGLE ,Australia,R&B
BACKSTREET BOYS ,Canada,R&B
 JUICE WRLD FEATURING LIL UZI VERT ,Australia,Country
 Lil Dicky Featuring Chris Brown  ,Canada,Hip-Hop
  wiz khalifa featuring swae lee  ,UK,Pop
  WIZ KHALIFA FEATURING LIL SKIES ,Canada,Hip-Hop
"Khalid, Ty Dolla $Ign & 6Lack",Canada,Country
 Post Malone Featuring Nicki Minaj,US,R&B
Drake Featuring Static Major & Ty Dolla $Ign ,Australia,Country
Halsey Featuring Big Sean & Stefflon Don ,US,R&B
 TK KRAVITZ FEATURING JACQUEEZ ,Canada,Rock
 Martin Garrix Featuring Khalid ,Canada,Pop
David Lee Murphy & Kenny Chesney  ,Australia,Country
 G-EAZY FEATURING YO GOTTI & YBN NAHMIR ,Canada,Rock
  KYGO FEATURING MIGUEL,UK,Pop
Bad Wolves ,UK,Pop
  DRAKE FEATURING JAY-Z,Canada,Hip-Hop
  BEBE REXHA & FLORIDA GEORGIA LINE  ,Canada,Rock
  BAZZI ,UK,Hip-Hop
shawn mendes ,Canada,Hip-Hop
 CALVIN HARRIS & DUA LIPA  ,Canada,Rock
 The Carters ,Australia,Country
 blocboy jb featuring drake,Australia,Country
Childish Gambino ,US,Hip-Hop
Foster The People ,US,Rock
 nicki minaj featuring ariana grande ,Canada,Rock
 Nicky Jam X J Balvin  ,UK,R&B
 future,UK,Country
 MORGAN WALLEN FEATURING FLORIDA GEORGIA LINE ,Australia,Pop
 drake featuring static major & ty dolla $ign ,US,Rock
 DRAKE FEATURING JAY-Z ,Canada,Hip-Hop
 CHRIS LANE FEATURING TORI KELLY ,Canada,R&B
 Lil Dicky Featuring Chris Brown  ,UK,Country
 MEEK MILL FEATURING SWIZZ BEATZ,Australia,Pop
  morgan evans,Canada,Rock
 Post Malone Featuring Nicki Minaj,Canada,Rock
Keith Urban Featuring Julia Michaels  ,Australia,Pop
  david lee murphy & kenny chesney  ,US,Hip-Hop
 backstreet boys ,Australia,R&B
 Lil Pump ,Australia,Hip-Hop
 alessia cara ,Australia,Rock
 MARTIN GARRIX FEATURING KHALID  ,Australia,Hip-Hop
iggy azalea feauring tyga ,UK,R&B
"Khalid, Ty Dolla $Ign & 6Lack  ",Australia,R&B
 becky g + natti natasha ,Canada,Rock
 DRAKE FEATURING JAY-Z ,Canada,R&B
  Bazzi ,Australia,R&B
  DRAKE FEATURING STATIC MAJOR & TY DOLLA $IGN,US,Hip-Hop
  BLOCBOY JB FEATURING DRAKE ,Canada,Pop
 LAUV ,UK,Country
"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",Canada,R&B
 MORGAN WALLEN FEATURING FLORIDA GEORGIA LINE ,US,R&B
"YG FEATURING 2 CHAINZ, BIG SEAN & NICKI MINAJ ",US,Pop
 Jason Aldean Featuring Miranda Lambert ,Australia,Pop
 halsey featuring big sean & stefflon don  ,US,Pop
  lil dicky featuring chris brown ,US,Pop
david lee murphy & kenny chesney,UK,Pop
 Post Malone Featuring Nicki Minaj,Australia,Country
 CHARLIE PUTH FEATURING KEHLANI ,Canada,Pop
  Keith Urban Featuring Julia Michaels ,US,R&B
 nicki minaj featuring ariana grande ,UK,Rock
BACKSTREET BOYS ,Australia,Hip-Hop
  queen naija ,Canada,Pop
 LIL PUMP ,US,R&B
BAD WOLVES,UK,Rock
 FAMOUS DEX  ,Australia,Pop
  Reik Featuring Ozuna & Wisin,Canada,Country
  BLOCBOY JB FEATURING DRAKE,Canada,Hip-Hop
  Migos Featuring Drake  ,Australia,Hip-Hop
Post Malone Featuring 21 Savage,US,R&B
 XXXTENTACION FEATURING TRIPPIE REDD ,Canada,Rock
 Camila Cabello Featuring Young Thug,US,Rock
  lauv  ,Australia,Rock
lil dicky featuring chris brown ,US,Pop
 Morgan Wallen Featuring Florida Georgia Line  ,Canada,Country
DADDY YANKEE  ,UK,Pop
  POST MALONE FEATURING NICKI MINAJ ,US,Rock
"2 Chainz, Drake & Quavo ",US,Pop
 Nicki Minaj ,UK,Hip-Hop
FAMOUS DEX ,UK,Rock
 Nicky Jam X J Balvin  ,Canada,Rock
  david lee murphy & kenny chesney ,Australia,Hip-Hop
Halsey Featuring Big Sean & Stefflon Don,Canada,Country
 LIL PUMP,UK,Country
 6Ix9Ine Featuring Dj Spinking ,Australia,Rock
 Charlie Puth Featuring Kehlani,Australia,R&B
LIL SKIES FEATURING YUNG PINCH ,UK,Pop
a$ap rocky featuring skepta ,Canada,Country
  becky g + natti natasha ,UK,Country
 Rae Sremmurd & Juicy J,UK,R&B
 KEITH URBAN FEATURING JULIA MICHAELS,Australia,Rock
 lil baby featuring gunna & lil uzi vert ,Canada,R&B
 BAD WOLVES ,Canada,R&B
KYGO & IMAGINE DRAGONS,Canada,Country
 ARIANA GRANDE FEATURING NICKI MINAJ ,UK,Country
The Carters,US,Rock
 Jhene Aiko Featuring Swae Lee Or Rae Sremmurd  ,Canada,Country
 post malone featuring ty dolla $ign ,Australia,Rock
 marshmello & anne-marie  ,Canada,Country
migos featuring drake,Canada,R&B
  Xxxtentacion Featuring Trippie Redd ,Canada,R&B
  Post Malone Featuring 21 Savage,UK,Country
 Calvin Harris & Dua Lipa  ,Canada,Hip-Hop
camila cabello featuring young thug,Canada,Rock
  nicki minaj ,Australia,R&B
 Blackpink ,Canada,Hip-Hop
Foster The People  ,Canada,Rock
  the weeknd & kendrick lamar ,Australia,R&B
 Post Malone Featuring Nicki Minaj  ,Australia,R&B
  Famous Dex ,UK,Hip-Hop
CHARLIE PUTH FEATURING KEHLANI,Canada,R&B
6Ix9Ine Featuring Dj Spinking  ,US,Pop
Nicky Jam X J Balvin ,Australia,R&B
  Daddy Yankee,UK,R&B
 DAVID LEE MURPHY & KENNY CHESNEY,US,Hip-Hop
 Halsey Featuring Big Sean & Stefflon Don,Canada,Rock
 LIL PUMP  ,UK,R&B
MARTIN GARRIX FEATURING KHALID,Canada,Pop
rae sremmurd & juicy j ,Australia,Rock
Lil Baby Featuring Gunna & Lil Uzi Vert ,Australia,R&B
" Diplo, French Montana & Lil Pump Featuring Zhavia Ward",US,Pop
PITBULL X EL CHOMBO X KAROL G FEATURING CUTTY RANKS,UK,Pop
KIDS SEE GHOSTS ,Canada,Country
 LIL SKIES FEATURING YUNG PINCH ,US,Pop
 BAD WOLVES  ,US,R&B
 the carters,UK,Rock
Nas Featuring Kanye West,US,Rock
 jhene aiko featuring swae lee or rae sremmurd ,UK,R&B
  QUEEN NAIJA  ,US,Hip-Hop
Bebe Rexha & Florida Georgia Line  ,Australia,R&B
 marshmello & anne-marie ,Canada,Country
 BAZZI ,Australia,Pop
  Post Malone Featuring 21 Savage ,UK,Country
CAMILA CABELLO FEATURING YOUNG THUG,Canada,Country
Rich The Kid ,Australia,Pop
  Lil Dicky Featuring Chris Brown ,Canada,R&B
kids see ghosts ,UK,R&B
  KIDS SEE GHOSTS FEATURING LOUIS PRIMA,UK,Hip-Hop
 Nicki Minaj  ,Australia,Hip-Hop
 THE WEEKND & KENDRICK LAMAR ,Australia,R&B
 kids see ghosts ,UK,R&B
6ix9ine featuring dj spinking,Australia,Hip-Hop
 Xxxtentacion  ,UK,Rock
charlie puth featuring kehlani,Australia,Hip-Hop
  Foster The People ,US,Rock
NICKY JAM X J BALVIN,Australia,Hip-Hop
POST MALONE FEATURING NICKI MINAJ ,Australia,Country
 kanye west featuring partynextdoor ,Australia,Hip-Hop
 Kids See Ghosts ,US,Pop
 DADDY YANKEE ,Canada,Rock
KIDS SEE GHOSTS  ,US,Rock
  Lil Pump,UK,Hip-Hop
  Famous Dex ,Canada,Hip-Hop
 KIDS SEE GHOSTS ,Australia,Hip-Hop
 RAE SREMMURD & JUICY J ,US,Country
pitbull x el chombo x karol g featuring cutty ranks ,Australia,Pop
 REIK FEATURING OZUNA & WISIN,Canada,Hip-Hop
jhene aiko featuring swae lee or rae sremmurd,UK,Hip-Hop
  LIL BABY FEATURING GUNNA & LIL UZI VERT  ,US,Hip-Hop
  lil skies featuring yung pinch ,UK,Pop
 Ozuna & Romeo Santos ,Canada,R&B
Kanye West Featuring Partynextdoor ,Canada,R&B
 SUGARLAND FEATURING TAYLOR SWIFT,UK,Hip-Hop
cardi b featuring migos,Australia,Pop
"  diplo, french montana & lil pump featuring zhavia ward ",US,Rock
 Lil Baby & Drake  ,Canada,Country
 MIGOS FEATURING DRAKE  ,Canada,Pop
Kanye West Featuring Partynextdoor ,UK,R&B
post malone featuring 21 savage  ,US,Hip-Hop
calvin harris & dua lipa,US,Country
"casper magico, nio garcia, darell, nicky jam, ozuna & bad bunny ",US,Pop
The Weeknd & Kendrick Lamar ,US,R&B
6Ix9Ine Featuring Dj Spinking  ,Australia,R&B
bruno mars & cardi b ,US,Pop
 charlie puth featuring kehlani  ,Australia,Rock
  Foster The People  ,US,Hip-Hop
Daddy Yankee ,US,R&B
lil pump,Canada,Rock
 Rae Sremmurd & Juicy J ,Australia,R&B
FAMOUS DEX,Canada,Rock
  A$AP ROCKY FEATURING SKEPTA  ,Canada,Pop
david lee murphy & kenny chesney,Australia,Hip-Hop
 Halsey Featuring Big Sean & Stefflon Don  ,UK,Hip-Hop
Pitbull X El Chombo X Karol G Featuring Cutty Ranks,Canada,Hip-Hop
" diplo, french montana & lil pump featuring zhavia ward ",Australia,Pop
" KHALID, TY DOLLA $IGN & 6LACK ",Australia,Country
 BAD WOLVES ,US,Country
JHENE AIKO FEATURING SWAE LEE OR RAE SREMMURD ,Australia,Country
 Cardi B Featuring Migos ,Canada,Pop
  GORILLAZ FEATURING GEORGE BENSON ,UK,R&B
 Travis Scott Featuring Lil Uzi Vert & Kanye West ,Canada,R&B
 playboi carti featuring lil uzi vert ,Canada,Pop
  Lil Skies  ,US,Pop
 ozuna & romeo santos  ,US,Pop
  RICH THE KID FEATURING KENDRICK LAMAR  ,Canada,Hip-Hop
Becky G + Natti Natasha ,UK,R&B
 Migos Featuring Drake ,US,Pop
 Post Malone Featuring 21 Savage ,US,Hip-Hop
 camila cabello featuring young thug ,Australia,Pop
 Lil Dicky Featuring Chris Brown ,Australia,Country
 calvin harris & dua lipa  ,US,Rock
BRUNO MARS & CARDI B ,Australia,R&B
Kendrick Lamar & Sza,UK,Pop
 offset & metro boomin,UK,Country
 6ix9ine featuring dj spinking ,Canada,Rock
 RAE SREMMURD & JUICY J  ,UK,Pop
 daddy yankee,UK,Hip-Hop
 MORGAN WALLEN FEATURING FLORIDA GEORGIA LINE  ,Canada,Pop
Famous Dex,UK,Pop
  lil pump ,Australia,Hip-Hop
 Post Malone Featuring Nicki Minaj,UK,R&B
A$AP ROCKY FEATURING MOBY ,Australia,Country
PUSHA T ,US,Rock
" JAY ROCK, KENDRICK LAMAR, FUTURE & JAMES BLAKE",Canada,Country
 DAVID LEE MURPHY & KENNY CHESNEY  ,UK,R&B
Halsey Featuring Big Sean & Stefflon Don ,Canada,Hip-Hop
 Brett Young,Australia,Rock
Pusha T  ,UK,Country
 Lil Baby Featuring Gunna & Lil Uzi Vert,US,Hip-Hop
 Pusha T Featuring Kanye West,US,Pop
shawn mendes featuring khalid,UK,Pop
"  KHALID, TY DOLLA $IGN & 6LACK ",Australia,R&B
CARDI B FEATURING MIGOS ,Canada,R&B
jennifer lopez featuring dj khaled & cardi b  ,US,Hip-Hop
 Darius Rucker ,Canada,Pop
 Travis Scott Featuring Lil Uzi Vert & Kanye West,Canada,Hip-Hop
LIL SKIES  ,Canada,Country
PLAYBOI CARTI FEATURING LIL UZI VERT,UK,R&B
Rich The Kid Featuring Kendrick Lamar ,Australia,Pop
 LOGIC & MARSHMELLO,Australia,Pop
 POST MALONE FEATURING SWAE LEE ,Canada,Hip-Hop
 pusha t ,Canada,Hip-Hop
  Childish Gambino  ,UK,R&B
"ZEDD, MAREN MORRIS & GREY ",Australia,Hip-Hop
 LIL DICKY FEATURING CHRIS BROWN ,UK,Pop
 post malone featuring 21 savage,US,R&B
 camila cabello featuring young thug ,US,R&B
 the weeknd & kendrick lamar ,UK,Country
 RICH THE KID ,Canada,Rock
  nicki minaj ,Australia,Pop
KENDRICK LAMAR & SZA ,US,Pop
 BRUNO MARS & CARDI B,Australia,R&B
OFFSET & METRO BOOMIN,Canada,Rock
 daddy yankee,Canada,Hip-Hop
 famous dex  ,Canada,Rock
 Darius Rucker  ,US,Pop
 TRAVIS SCOTT FEATURING LIL UZI VERT & KANYE WEST ,Canada,Country
"jay rock, kendrick lamar, future & james blake ",UK,Pop
FOSTER THE PEOPLE ,UK,R&B
 playboi carti featuring lil uzi vert,Canada,Rock
kevin gates ,Canada,Rock
cardi b featuring migos,Canada,Pop
kris wu ,US,Country
post malone featuring swae lee ,Australia,R&B
 KEVIN GATES  ,UK,Pop
 PHARRELL WILLIAMS X CAMILA CABELLO,Canada,Hip-Hop
"diplo, french montana & lil pump featuring zhavia ward",Canada,Rock
 Nav Featuring Travis Scott,Canada,Pop
lil skies featuring landon cube,UK,R&B
JHENE AIKO FEATURING SWAE LEE OR RAE SREMMURD,UK,R&B
logic & marshmello ,UK,Rock
  Meghan Trainor,UK,Hip-Hop
 lil skies ,US,Pop
bhad bhabie featuring lil yachty,US,Rock
 Ozuna & Romeo Santos,UK,Country
 blocboy jb featuring drake  ,US,R&B
bazzi,Canada,R&B
 THE WEEKND & KENDRICK LAMAR,Canada,Pop
 rich the kid ,US,Pop
 bruno mars & cardi b  ,Canada,Hip-Hop
RAE SREMMURD & JUICY J,US,Country
 Kendrick Lamar & Sza ,Canada,Hip-Hop
 offset & metro boomin,US,Country
 nicky jam x j balvin ,Canada,Pop
TRAVIS SCOTT FEATURING LIL UZI VERT & KANYE WEST ,UK,Pop
daddy yankee,Canada,Pop
 playboi carti featuring lil uzi vert ,Australia,R&B
Post Malone Featuring Nicki Minaj  ,US,R&B
 charlie puth featuring kehlani  ,Australia,Rock
" Jay Rock, Kendrick Lamar, Future & James Blake ",UK,Pop
 PITBULL X EL CHOMBO X KAROL G FEATURING CUTTY RANKS ,Australia,Hip-Hop
  lil pump,Australia,R&B
 post malone featuring swae lee,UK,Hip-Hop
 Morgan Wallen Featuring Florida Georgia Line ,UK,Hip-Hop
" Khalid, Ty Dolla $Ign & 6Lack ",Australia,Pop
MEGHAN TRAINOR,Australia,Pop
  cardi b featuring migos ,US,Pop
 FOSTER THE PEOPLE ,UK,Hip-Hop
  RICH THE KID FEATURING KENDRICK LAMAR ,Australia,Country
  Bad Wolves,Canada,Country
 REIK FEATURING OZUNA & WISIN ,Canada,Country
 Bhad Bhabie Featuring Lil Yachty ,Australia,Hip-Hop
 Logic & Marshmello,Australia,R&B
  Lil Skies Featuring Landon Cube ,Australia,Hip-Hop
Lil Skies,Australia,R&B
 Post Malone Featuring G-Eazy & Yg,Canada,Hip-Hop
tank,Australia,R&B
 ozuna & romeo santos ,Canada,Hip-Hop
  Justin Timberlake Featuring Chris Stapleton  ,US,R&B
 Childish Gambino,Canada,R&B
"zedd, maren morris & grey  ",US,R&B
 migos featuring drake,Australia,Rock
bazzi ,US,Rock
 travis scott featuring lil uzi vert & kanye west ,Australia,Rock
 Camila Cabello Featuring Young Thug ,Canada,Hip-Hop
 Bruno Mars & Cardi B  ,UK,R&B
 Kendrick Lamar & Sza,US,Rock
 OFFSET & METRO BOOMIN ,US,Rock
" Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny ",US,Country
 NICKY JAM X J BALVIN ,UK,Country
 meghan trainor,US,Rock
"jay rock, kendrick lamar, future & james blake ",Canada,Rock
 post malone featuring g-eazy & yg,UK,Pop
  Rich The Kid Featuring Kendrick Lamar,Canada,Rock
 Logic & Marshmello ,UK,Pop
  Bhad Bhabie Featuring Lil Yachty ,US,R&B
Cardi B Featuring 21 Savage,Australia,Pop
 FOSTER THE PEOPLE ,Canada,Country
justin timberlake featuring chris stapleton,Canada,R&B
 ozuna & romeo santos,Canada,Pop
 mason ramsey,Australia,R&B
 CARDI B FEATURING SZA,UK,Hip-Hop
  Lil Skies Featuring Landon Cube  ,Australia,Hip-Hop
  tank  ,US,Pop
  Bebe Rexha & Florida Georgia Line ,UK,Country
Blocboy Jb Featuring Drake ,Canada,Rock
post malone featuring g-eazy & yg ,UK,Hip-Hop
the weeknd & kendrick lamar,UK,Rock
 RAE SREMMURD & JUICY J  ,US,Hip-Hop
offset & metro boomin,Canada,R&B
 nicky jam x j balvin,UK,Pop
 Daddy Yankee ,UK,Hip-Hop
 famous dex ,US,R&B
cardi b featuring migos ,Canada,Hip-Hop
 meghan trainor  ,US,Country
 mason ramsey ,US,R&B
"  Jay Rock, Kendrick Lamar, Future & James Blake  ",US,Pop
 RICH THE KID FEATURING KENDRICK LAMAR,US,Rock
 logic & marshmello ,UK,Pop
 CARDI B FEATURING 21 SAVAGE,US,R&B
Kanye West Featuring T.I.,Australia,R&B
  Cardi B Featuring Kehlani,Australia,Rock
 Cardi B Featuring Sza ,Australia,Hip-Hop
 Darius Rucker ,Canada,Country
tank  ,Canada,R&B
Halsey Featuring Big Sean & Stefflon Don  ,US,Pop
 lil skies featuring landon cube ,Canada,Hip-Hop
Lil Dicky Featuring Chris Brown ,Australia,Country
Camila Cabello Featuring Young Thug ,Australia,Rock
  MARSHMELLO & ANNE-MARIE,Australia,Rock
 Bruno Mars & Cardi B,Australia,Country
 THE WEEKND & KENDRICK LAMAR ,US,Hip-Hop
j. cole featuring kill edward ,US,Hip-Hop
 avicii ,Canada,R&B
offset & metro boomin ,Australia,R&B
 KENDRICK LAMAR & SZA  ,Canada,R&B
j. cole featuring kill edward  ,UK,Country
portugal. the man,UK,Country
  nicky jam x j balvin,Australia,Hip-Hop
Meghan Trainor ,UK,Country
 CARDI B FEATURING 21 SAVAGE,Australia,R&B
 RICH THE KID FEATURING KENDRICK LAMAR ,US,Hip-Hop
 JUSTIN TIMBERLAKE FEATURING CHRIS STAPLETON ,Canada,Hip-Hop
 logic & marshmello ,Canada,Pop
 sugarland featuring taylor swift  ,Canada,R&B
 Bad Wolves,US,Rock
 foster the people ,US,Rock
  pitbull x el chombo x karol g featuring cutty ranks  ,US,Pop
morgan wallen featuring florida georgia line ,Canada,Hip-Hop
  BRETT ELDREDGE ,Australia,Rock
Jhene Aiko Featuring Swae Lee Or Rae Sremmurd ,Canada,Hip-Hop
  keala settle & the greatest showman ensemble ,UK,Pop
 TANK ,Canada,Hip-Hop
rae sremmurd & travis scott ,US,Country
 CARDI B FEATURING CHANCE THE RAPPER,US,Hip-Hop
BLOCBOY JB FEATURING DRAKE,Australia,Rock
  Bruno Mars & Cardi B ,Canada,Rock
  The Weeknd & Kendrick Lamar ,UK,R&B
MARSHMELLO & ANNE-MARIE  ,Australia,R&B
  post malone featuring 21 savage  ,US,Rock
 Offset & Metro Boomin  ,Australia,Rock
 Cardi B Featuring Migos ,Canada,Hip-Hop
cardi b featuring 21 savage ,UK,Hip-Hop
 Justin Timberlake Featuring Chris Stapleton  ,US,Country
Cardi B Featuring Sza,US,Country
  MAX FEATURING GNASH  ,UK,R&B
 G-Eazy & Halsey ,Canada,Rock
" Jay Rock, Kendrick Lamar, Future & James Blake  ",Australia,R&B
 brett eldredge  ,US,Pop
 DADDY YANKEE,Australia,R&B
 zayn  ,Australia,Country
 keala settle & the greatest showman ensemble,US,Country
  Swae Lee Featuring Slim Jxmmi ,Australia,Rock
 young thug featuring nicki minaj ,US,Country
cardi b & yg  ,Australia,Country
" dj khaled featuring jay z, future & b  ",Canada,Pop
High Valley ,Canada,R&B
 DANIEL CAESAR FEATURING KALI UCHIS,Canada,R&B
 DEREZ DE'SHON ,Canada,Pop
post malone featuring ty dolla $ign ,UK,Country
BLOCBOY JB FEATURING DRAKE  ,US,R&B
 Bruno Mars & Cardi B,US,Rock
 migos featuring drake ,US,Rock
 RICH THE KID,Canada,Rock
 Cardi B Featuring Sza  ,Australia,Rock
  Post Malone Featuring 21 Savage ,UK,Country
  famous dex ,US,Hip-Hop
CARDI B FEATURING 21 SAVAGE ,UK,R&B
 CARDI B FEATURING CHANCE THE RAPPER  ,US,Country
JUSTIN TIMBERLAKE FEATURING CHRIS STAPLETON ,UK,Pop
"  Jay Rock, Kendrick Lamar, Future & James Blake",Canada,Country
 Rich The Kid Featuring Kendrick Lamar ,US,R&B
cardi b & yg,Australia,R&B
  a$ap rocky featuring moby,UK,Rock
 OZUNA & ROMEO SANTOS,UK,Country
 LOGIC & MARSHMELLO  ,US,R&B
 foster the people,Canada,Hip-Hop
  Jhene Aiko Featuring Swae Lee Or Rae Sremmurd  ,UK,Country
 Derez De'Shon ,US,Rock
 Queen Naija ,Canada,Pop
HIGH VALLEY ,Canada,Hip-Hop
" Dj Khaled Featuring Jay Z, Future & B ",US,R&B
 Tank,UK,Hip-Hop
 Devin Dawson ,US,R&B
  lil skies featuring landon cube,US,Hip-Hop
 Alice Merton  ,Canada,R&B
 SZA  ,Canada,Rock
 2 CHAINZ FEATURING YG & OFFSET ,US,R&B
 LIL DICKY FEATURING CHRIS BROWN ,UK,Pop
  The Weeknd & Kendrick Lamar  ,Australia,Rock
  Kendrick Lamar & Sza,US,Country
g-eazy & halsey,Australia,Hip-Hop
 Max Featuring Gnash ,UK,Hip-Hop
 the weeknd featuring gesaffelstein  ,US,Rock
 Justin Timberlake Featuring Chris Stapleton,UK,Rock
portugal. the man ,US,Hip-Hop
 THE WEEKND FEATURING GESAFFELSTEIN ,UK,Hip-Hop
Nicky Jam X J Balvin,UK,Hip-Hop
 N*E*R*D & RIHANNA ,Australia,Country
Cardi B Featuring 21 Savage,US,Rock
Meghan Trainor  ,UK,R&B
BAD WOLVES ,Canada,R&B
 demi lovato  ,US,Hip-Hop
  Brett Eldredge ,UK,Pop
  Derez De'Shon ,Australia,Country
  Logic & Marshmello,US,Rock
  jhene aiko featuring swae lee or rae sremmurd ,Australia,Pop
 Devin Dawson ,UK,Country
  LIL SKIES FEATURING LANDON CUBE ,Canada,Hip-Hop
  HIGH VALLEY ,Australia,Country
  Alice Merton ,Canada,Hip-Hop
 Lil Skies Featuring Landon Cube ,Australia,R&B
 chris brown ,US,R&B
 luis fonsi & demi lovato  ,Australia,Hip-Hop
Ozuna X Cardi B ,US,Country
 2 chainz featuring yg & offset,UK,Pop
  LIL YACHTY FEATURING NBA YOUNGBOY ,Canada,Hip-Hop
 daniel caesar featuring kali uchis ,UK,R&B
"  Zedd, Maren Morris & Grey ",US,Pop
 THE WEEKND & KENDRICK LAMAR  ,Canada,Country
 Kendrick Lamar & Sza,UK,Rock
 OFFSET & METRO BOOMIN,UK,Pop
 g-eazy & halsey,US,Hip-Hop
 max featuring gnash  ,US,Country
" jay rock, kendrick lamar, future & james blake",Australia,Rock
  portugal. the man ,Canada,Pop
justin timberlake featuring chris stapleton,US,Country
 n*e*r*d & rihanna ,Canada,R&B
G-EAZY FEATURING A$AP ROCKY & CARDI B,Australia,Hip-Hop
  KENDRICK LAMAR FEATURING ZACARI  ,US,Country
Selena Gomez X Marshmello,US,Hip-Hop
"  Migos, Nicki Minaj & Cardi B  ",Canada,R&B
  cardi b featuring 21 savage ,US,R&B
 6ix9ine,Australia,Pop
DEREZ DE'SHON,Australia,R&B
  Devin Dawson ,US,Rock
OZUNA & ROMEO SANTOS  ,UK,Rock
 Bad Wolves,Canada,Hip-Hop
" Dj Khaled Featuring Jay Z, Future & B",Canada,R&B
 famous dex featuring a$ap rocky ,Australia,Country
 LIL YACHTY FEATURING NBA YOUNGBOY  ,US,Country
  Lil Xan  ,UK,R&B
JHENE AIKO FEATURING SWAE LEE OR RAE SREMMURD  ,US,Pop
high valley,Canada,Rock
TANK ,US,R&B
 Lil Skies Featuring Landon Cube,US,Hip-Hop
 Logic ,US,Pop
keala settle & the greatest showman ensemble ,Australia,Pop
Luis Fonsi & Demi Lovato,Canada,Rock
  BLAC YOUNGSTA,US,R&B
Ozuna X Cardi B ,Australia,R&B
YBN NAHMIR,UK,R&B
TRIPPIE REDD FEATURING TRAVIS SCOTT  ,Canada,Hip-Hop
 DANIEL CAESAR FEATURING KALI UCHIS ,UK,Country
  Alice Merton ,US,R&B
 BRUNO MARS & CARDI B,Canada,Rock
 CAMILA CABELLO FEATURING YOUNG THUG ,Canada,Hip-Hop
 lil dicky featuring chris brown ,Australia,Pop
 Kendrick Lamar & Sza ,Canada,Rock
 Post Malone Featuring 21 Savage ,UK,Rock
 MIGOS FEATURING DRAKE ,US,Country
 g-eazy & halsey ,Australia,Pop
 cardi b featuring 21 savage,Canada,Country
N*E*R*D & RIHANNA ,Canada,Rock
selena gomez x marshmello ,UK,Rock
 Kendrick Lamar Featuring Zacari,Australia,Hip-Hop
" MIGOS, NICKI MINAJ & CARDI B  ",Canada,Country
 rich the kid featuring kendrick lamar  ,Canada,Hip-Hop
 CHARLIE PUTH,Canada,R&B
 lin-manuel miranda & ben platt ,Canada,Hip-Hop
  Miguel Featuring Travis Scott ,Australia,Pop
 RAE SREMMURD & JUICY J ,Canada,Pop
devin dawson ,Australia,Hip-Hop
  6ix9ine ,Australia,Pop
"  Dj Khaled Featuring Jay Z, Future & B ",UK,Hip-Hop
MEGHAN TRAINOR ,Canada,Hip-Hop
logic ,UK,Pop
  famous dex featuring a$ap rocky,Australia,Country
DEMI LOVATO  ,Canada,Hip-Hop
 LIL XAN ,UK,R&B
 Lil Yachty Featuring Nba Youngboy ,Australia,Country
  tank ,US,Pop
 Xxxtentacion Featuring Joey Bada$$  ,Canada,Rock
  blac youngsta,UK,Pop
High Valley ,UK,R&B
 Jacquees X Dej Loaf ,Australia,Country
  luis fonsi & demi lovato,Canada,Rock
OZUNA X CARDI B ,UK,Rock
 Trippie Redd Featuring Travis Scott ,UK,R&B
 THE CHAINSMOKERS ,UK,R&B
  Camila Cabello Featuring Young Thug  ,Australia,Hip-Hop
  the weeknd & kendrick lamar,US,Rock
  KENDRICK LAMAR & SZA  ,Canada,Pop
 MAX FEATURING GNASH ,US,Rock
Rich The Kid  ,UK,Pop
LOGIC & MARSHMELLO ,Canada,R&B
maroon 5 ,Australia,Hip-Hop
 kendrick lamar featuring zacari ,US,Rock
 charlie puth,Canada,Pop
"MIGOS, NICKI MINAJ & CARDI B ",Canada,R&B
MIGUEL FEATURING TRAVIS SCOTT ,UK,Hip-Hop
  LOGIC,UK,Hip-Hop
 A$Ap Ferg Featuring Nicki Minaj  ,US,R&B
"DJ KHALED FEATURING JAY Z, FUTURE & B  ",UK,R&B
 6IX9INE ,UK,Rock
 DADDY YANKEE ,Australia,Country
  LOGIC FEATURING WIZ KHALIFA ,Australia,Country
 Logic,US,Pop
 N*E*R*D & RIHANNA,Australia,Pop
lil yachty featuring nba youngboy ,UK,Hip-Hop
 devin dawson  ,UK,Country
 OZUNA & ROMEO SANTOS,Australia,Country
 famous dex featuring a$ap rocky,Canada,Rock
  Derez De'Shon,UK,R&B
 Lil Yachty Featuring Trippie Redd ,UK,Rock
 LOGIC ,Canada,Hip-Hop
 Rae Sremmurd & Juicy J ,US,Rock
 Lil Skies Featuring Landon Cube  ,Canada,Rock
 Lil Xan,US,R&B
LOGIC FEATURING BIG SEAN ,US,R&B
 eminem featuring ed sheeran ,Canada,Country
lil yachty featuring ugly god  ,US,Rock
BLAC YOUNGSTA ,Australia,Pop
Keala Settle & The Greatest Showman Ensemble  ,UK,Pop
" Schoolboy Q, 2 Chainz & Saudi ",Canada,R&B
 JACQUEES X DEJ LOAF,US,R&B
 HIGH VALLEY ,Canada,Rock
Logic ,Canada,Pop
  logic featuring young sinatra  ,Canada,R&B
LUIS FONSI & DEMI LOVATO ,Australia,Pop
